item_name,ing_id,ing_name,ing_weight,ing_price,order_quantity,recipe_quantity,costo_granular_ing,volumen_ing_consumido,valor_inventario_consumido
"Pizza margherita reg",REF30001,"Bola de masa de pizza (paquete 8)",2000,4.22,18,250,0.53,4500,9.54
"Pizza margherita reg",REF30002,"Salsa de tomate",4500,3.89,18,80,0.07,1440,1.26
"Pizza margherita reg",REF30003,"Queso mozzarella",2500,14.45,18,170,0.98,3060,17.64
"Pizza margherita reg",REF30004,"Orégano seco",500,5.99,18,5,0.06,90,1.08
"Pizza Diavola (Hot) Reg",REF30001,"Bola de masa de pizza (paquete 8)",2000,4.22,30,250,0.53,7500,15.90
"Pizza Diavola (Hot) Reg",REF30002,"Salsa de tomate",4500,3.89,30,80,0.07,2400,2.10
"Pizza Diavola (Hot) Reg",REF30003,"Queso mozzarella",2500,14.45,30,170,0.98,5100,29.40
"Pizza Diavola (Hot) Reg",REF30005,"Salami picante",3500,37.64,30,50,0.54,1500,16.20
"Pizza Diavola (Hot) Reg",REF30006,"Pimiento picante",1000,6.49,30,10,0.06,300,1.80
"Pizza quattro formaggi grande",REF30001,"Bola de masa de pizza (paquete 8)",2000,4.22,39,300,0.63,11700,24.57
"Pizza quattro formaggi grande",REF30002,"Salsa de tomate",4500,3.89,39,100,0.09,3900,3.51
"Pizza quattro formaggi grande",REF30003,"Queso mozzarella",2500,14.45,39,200,1.16,7800,45.24
"Pizza quattro formaggi grande",REF30008,"queso parmesano",2500,18.75,39,180,1.35,7020,52.65
"Pizza quattro formaggi grande",REF30009,"Queso Gorgonzola",3500,27.64,39,180,1.42,7020,55.38
"Pizza quattro formaggi grande",REF30010,"Queso ricotta",1500,3.99,39,180,0.48,7020,18.72
"Palitos de pan",REF30001,"Bola de masa de pizza (paquete 8)",2000,4.22,46,250,0.53,11500,24.38
"Ensalada CÃ©sar",REF30021,"Trozos de pollo asado",5000,34.45,37,120,0.83,4440,30.71
"Ensalada CÃ©sar",REF30022,Crutones,1250,5.25,37,50,0.21,1850,7.77
"Ensalada CÃ©sar",REF30023,"Lechuga romain",7500,13.72,37,100,0.18,3700,6.66
"Ensalada CÃ©sar",REF30024,"Aderezo César",3800,17.98,37,20,0.09,740,3.33
"Helado de fresa",REF30027,"helado de fresa",4500,15.45,9,100,0.34,900,3.06
"San Pelligrino 33cl",REF30044,"San Pelligrino 33cl",1,0.36,4,1,0.36,4,1.44
"Pizza napolitana reg",REF30001,"Bola de masa de pizza (paquete 8)",2000,4.22,14,250,0.53,3500,7.42
"Pizza napolitana reg",REF30002,"Salsa de tomate",4500,3.89,14,80,0.07,1120,0.98
"Pizza napolitana reg",REF30003,"Queso mozzarella",2500,14.45,14,170,0.98,2380,13.72
"Pizza napolitana reg",REF30011,Anchoas,1000,10.99,14,100,1.10,1400,15.40
"Pizza napolitana reg",REF30012,alcaparras,1000,4.16,14,5,0.02,70,0.28
"Helado de pistacho",REF30028,"Helado de pistacho",4500,15.45,6,100,0.34,600,2.04
"Helado de chocolate",REF30026,"Helado de chocolate",4500,15.45,37,100,0.34,3700,12.58
"Brownie de chocolate",REF30029,"Brownie de chocolate",2500,4.45,43,75,0.13,3225,5.59
"Pizza Margherita grande",REF30001,"Bola de masa de pizza (paquete 8)",2000,4.22,7,300,0.63,2100,4.41
"Pizza Margherita grande",REF30002,"Salsa de tomate",4500,3.89,7,100,0.09,700,0.63
"Pizza Margherita grande",REF30003,"Queso mozzarella",2500,14.45,7,200,1.16,1400,8.12
"Pizza Margherita grande",REF30004,"Orégano seco",500,5.99,7,8,0.10,56,0.70
"Pizza napolitana grande",REF30001,"Bola de masa de pizza (paquete 8)",2000,4.22,9,300,0.63,2700,5.67
"Pizza napolitana grande",REF30002,"Salsa de tomate",4500,3.89,9,100,0.09,900,0.81
"Pizza napolitana grande",REF30003,"Queso mozzarella",2500,14.45,9,200,1.16,1800,10.44
"Pizza napolitana grande",REF30011,Anchoas,1000,10.99,9,50,0.55,450,4.95
"Pizza napolitana grande",REF30012,alcaparras,1000,4.16,9,7,0.03,63,0.27
"Alitas de pollo",REF30020,"Alitas de pollo",6000,69.83,30,120,1.40,3600,42.00
"pie de banoffee",REF30030,"Pie de banoffee",1200,1.15,35,120,0.11,4200,3.85
